"Comment","LikeCount"
"Bro, wtf is this ??? He supposed to be an anti hero .. not the hero … so I guess spider man and venom isn’t going to happen no time soon cause at this point I’m good until he becomes the villain","1"
"This looks like absolute hot garbage","1"
"I hope this is the Logan of the Venom movies","1"
"They made Venom a joke and people eat this 💩 up. That’s why they will never change. It’s what the people want","1"
"no way venom&#39;s into gambling 😭(also THEYRE BRINING KNULL TO THIS???)","1"
"I don’t think Topher Grace is in there. But I do see knull.","1"
"We are finally gonna see Knull","1"
"Oh shit! Knull and planet symbiot!? 🤯","1"
"I really hope Knull is in this movie🤞","1"
"Knull is here!<br>The God in Ebon! The Watcher within! The antithesis to the Watchers from Without, the Beyonders!","1"
"Knull🥶","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=130"">2:10</a> so this is where Otto Hightower went huh","1"
"HOLY SHIT IT&#39;S KNULL!!!!!! AND WE GOT TOXIN AND LASHER COMING TOO WTFFFFF🔥🔥🔥","1"
"😂there&#39;s no way Hardy doesn&#39;t despise doing this dog sh*t. He probably disassociated every morning before going to set. He didn&#39;t need to sell his soul, he was doing just fine... oh well... it&#39;s a waste of his talent. and his career.","1"
"I SWEAR IF THEY MESS KNULL UP....... GODDAMN LIVE ACTION KNULL!! HELL YEAH!!","1"
"Knull 🤯","1"
"WHY? WHY YOU HAVE TO ADD KNULL? This better be good...","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=155"">2:35</a> this is actually hilarious","1"
"At <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=65"">1:05</a> we see our first look at knull the god of the symbioses I hope we get a lot of knull action","1"
"Puff it looks awful","1"
"Trailer just ruined everything..","1"
"meh.","1"
"1.01 knull 🥵🔥🔥🔥","1"
"More WOKE 🗑️","1"
"I’m genuinely happy that we’re getting another Venom movie. None of the Venom movies are “good”, let me make that clear, but goddamn, they’re so much fun. They remind of the Bayformers movie. Nonsensical movies with more spectacle than plot, &amp; I love it. Not every movie needs a deep plot or to make me think, or to make me feel deep emotions, though those movies are good.<br>Venom is just fun, &amp; that’s all I want.","1"
"ভেনম🔥🔥🔥","1"
"Venom and Deadpool should team up.","1"
"❤❤❤😮😮😮😮😮 osm very very nice 👍","1"
"Finally these shitty movies are over","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=130"">2:10</a> otto hightower 🤓","1"
"I hope they dont nerf or make fun of KNULL like gorr the butcher","1"
"I am going to cry watching this movie","1"
"So happy Knull is the main villain instead of Toxin.","1"
"This looks shit","1"
"&quot;Eddie I need more money&quot;<br><br><br><br>Me too buddy me too.","1"
"Now yes...WE ARE...VENOM!!! Now knowing the importance of knull, seriously don&#39;t waste him as he has something good to express.😍 And Sony you understand it.❗❗","1"
"KNULL !!","1"
"What Null 😳😳😳😳😳😳👈🏻","1"
"The main villain is knull 😯😯","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=66"">1:06</a> O Rei dos simbioner, Knull??? O cara é poderoso que bate de frente com os celestiais até matou um, o cabeça do celestial que foi construida uma cidade dentro em Guardioes da galaxia, ele quem arrancou","1"
"Tobey, I need more money!","1"
"The last gambling scene seems to be the one Chen made. That&#39;s why Chen and Venom met there in the first trailer.","1"
"The last gambling den seems to be the one Chen made. That&#39;s why Chen and Venom met there in the first trailer.","1"
"Why the hell would an alien symbiote enjoy gambling?<br>Let me tell you: it&#39;s called product placement","1"
"TRIPLE H as Knull","1"
"trailors be spoiling the movies","1"
"Im concerned this will have the thor 4 issue, they are trying to adapt a really cool, serious story, but they will add too much humor","1"
"much better if there was antony vs venom","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=80"">1:20</a> Voice Knull??","1"
"🔥🔥🔥🔥🖤","1"
"&quot;I always remember you&quot;","1"
"The Big  Budget Indian  hall <br>Venom The Last Dance","1"
"First :Venom not last part <br>Second:  Venom Not kitcher <br>People Always Wait Venom series  🕸️🕸️","1"
"IM SOOOO HYPED AFTER SEEING KNULL IN LIVE ACTION","1"
"This not a &quot;progressive&quot; film?! God, yes! I blessed!","1"
"Every time you like my comment you will gain a aura👇","1"
"This trailer feels right","1"
"Another venom film without spiderman.... wtf sony","1"
"For every like ,I will do a push up 🫵💯","1"
"I will share this everytime some one likes my comment 😊","1"
"Sony please don&#39;t ruin knull please please","1"
"OMFG KNULLL!!!!","1"
"Damn, Venom really went &quot;let&#39;s go gambling&quot; 😂😂😂😂","1"
"Based on the first two movies and this trailer this will be the worst trilogy ever","1"
"We need spider-man: beyond the spider-verse before GTA 6 🥲🫶","1"
"Eddie, I need more money","1"
"Quiero qué saquen la tercera parte dé Venom porfavor me la quiero ver","1"
"I can’t wait for this movie to come out. I think it’s gonna be awesome and quite sad too.😢","1"
"Truly it is the last dance and what a dance it shall be","1"
"aah, knull, a classix","1"
"We are venom!","1"
"OMG, the appearance of Knull is so amazing! Nice choice","1"
"INDIAN FANS ASSEMBLE✅","1"
"Damn horse looks crazy😮","1"
"YOGI BOLTA HAI Kahaa hain?😅 Ispe aayega ki nahi review?😉","1"
"Knull is here, he is one of the best modern day Marvel villain. Hope Sony will utilize him well, he have so much potential.","1"
"A venomized fish and horse is something I&#39;ve never thought I would see","1"
"It&#39;s crazy that Venom got a trilogy before the Justice League","1"
"Don&#39;t say Knull brooo","1"
"its going to be sucks again","1"
"Sony ruined there own movie,the knull reveal would of been the highlight of this movie","1"
"They&#39;re gonna ruin Knull","1"
"Confirmed that the rare venom skin is coming out in Fortnite","1"
"Cringe.","1"
"Same ol&#39; Sony-Marvel slop. GTFO.","1"
"Who are all waiting eagerly for knulls first appearance 🔥","1"
"It brings a tear to the eyes watching the trailer knowing it&#39;s the last one.","1"
"I Just Put React Video On Channel For Trailer This Movie Will Feed Generations 🔥🔥","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=86"">1:26</a> we need a disguise’<br>Venom can always shapeshift??!","1"
"The trilogy I didn&#39;t knew I need.","1"
"Terrible movies ngl.","1"
"What song is that","1"
"Sony turned Venom into a buffoon.","1"
"The wink 😉","1"
"Venom the Venom","1"
"Nah, looks pointless. Are they even giving us an actual villain to be excited about in the trailers? Knull is great, but feature him a little more. Carnage should have been left to the 3rd movie as hes Venoms biggest baddie... but they also should have done a good job with Carnage... Theres nothing to be excited about with this movie.","1"
"Knull is recorded by sony after done reading comments in first trailer 😂","1"
"The one decent Sony live action franchise. Tom hardy carries these movies and im honestly pretty excited to this now.","1"
"Finally The God of Symbiot is Here","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=27"">0:27</a>, Sony, 100th years Columbia Pictures a Sony company.","1"
"Knull","1"
"Please don&#39;t bring knull","1"
"Yay. The franchise is over. The pain can stop","1"
"Stop Fooling Yourselves, Spider-Man  doesnt exist in this trashy franchise, SSU is hindering MCU  Spider-Man, We Need Venom 3 to flop, Nobody wants SSU, End of SSU now .","1"
"Aint no way you introduce Knull now just to end it!!","1"
"And the dumbing down continues..","1"
"Sony after a long time ❤","1"
"Please don&#39;t mess Knull up.🙏","1"
"looks shite","1"
"why does it look like the cgi is getting worst in these movies, like with the plane scene it looks so fake.","1"
"KNULLLLLLLLLL😮😮😮😮😮😮😮","1"
"Venom with out spiderman is boring these 3 venom movies are the same 💩","1"
"THIS is what most other recent Superhero Films lack [Except for Deadpool &amp; Wolverine], Emotional Connection &amp; not just Action. This will be great, can already see it.","1"
"Venom sin spiderman es 💩 ya aburre","1"
"Regardless of the score it gets, I&#39;m already sold! 😎✅","1"
"Kunll is coming Damm!! 😍😍😍","1"
"Venom: Eddie,....I need more money","1"
"Who asked for this crap?","1"
"More trash","1"
"Nothing to revealing and I know the plot. Good trailer right there.","1"
"This better not be as horrible as the last 2 movies. I don’t want the Venom series to end as hot garbage.","1"
"‘Edddie this movie will be overrated’","1"
"HOLY GOD ITS BEEN OVER HALF A DECADE CAN WE JUST GET HIM AND SPIDER MAN IN THE SAME MOVIE ALREADY 😂 SONY I HATE THAT YOU OWN SPIDERMAN 🤦","1"
"I can never understand a word Tom Hardy says.","1"
"How can this be the conclusion but they introduce Knull?  That seems like a waste.","1"
"We got 3 venom movies before Henry&#39;s Superman 2 💀","1"
"Their brosome is on another level ❤ hard to believe this will the last time we see them together 😢","1"
"Ok, this movie will be absolutely crazy, for sure!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=2"">0:02</a> They sure are a great duo together,no doubt about it!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=10"">0:10</a> Or a &quot;Parasite&quot;!😅<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=24"">0:24</a> Venom: Hi beautiful!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=28"">0:28</a>: We&#39;re in deep sh*t<br>Me: No sh*t?!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=38"">0:38</a> Anyone else feeling deja vu?<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=51"">0:51</a> The whole community:🫨🫵     <br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=60"">1:00</a> 100%We have the toxic boy here!❤<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=67"">1:07</a> IT&#39;S THE MAN HIMSELF!!!🤯😵‍💫I CAN&#39;T BELIEVE IT!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=80"">1:20</a> Lasher!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=95"">1:35</a> Good question!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=102"">1:42</a> DON&#39;T DO THIS TO ME!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=118"">1:58</a> Patrick/Toxin?<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=120"">2:00</a> 🐎⬛<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=131"">2:11</a> We have them all together! <br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=138"">2:18</a> DON&#39;T DO THIS TO ME!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=168"">2:48</a> LET HIM COOK!<br><a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=179"">2:59</a> YES, we eat good for sure!<br>Congratulations to Tom Hardy for an excellent role,such talent!<br>I think we all know what&#39;s going on, so,thanks for a wonderful trilogy!🖤<br>I hope for more in the future!👀","1"
"Alien vs Venon, next movie Kong vs Venon","1"
"Love how, Venom is truly addicted to gambling when he enters a casino for the first time.","1"
"Stop making shit. Trilogy of shit.","1"
"This looks extremely generic for the last movie, fitting for the franchise","1"
"They’re turning Knull into a C List Villian. Looks like this movie will suck","1"
"This is a hilarious treasure! Just don&#39;t break my heart, don&#39;t dare to die! 🖤🤍🖤🤍🖤","1"
"SONY can end if you want, but I&#39;ll never forgive if you kill Knull.","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=169"">2:49</a> Fun fact: that wasn’t Venom talking, that was Sony after realizing Madame Web was a complete dumpster fire","1"
"Sony you better do right with beyond the spider verse.","1"
"We got Venom GAMBLING before GTA VI😭","1"
"KNULL IS HERE OMG!!!","1"
"finally, the conclusion to the most cringy trilogy ever. Hopefully now the MCU can introduce the real Venom into the movies","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=130"">2:10</a> <b><i>Kid Peter Parker kidnapped huh?!! OR IS IT DYLAN ?!</i></b> Anyways, might earn good because of Knull but might watch on TV after Sony Shenanigans with MCU Spider-Man","1"
"Holy shit it&#39;s KNULL","1"
"that&#39;s gonna be fire","1"
"Me to Sony: “It pisses me off your meddling in the Venom Movies and not being loyal to the fanbase. I go see them in cinemas, and they turned out to be crummy as hell, and you’re defending them because they’re your cash grabbing bread &amp; butter! Don’t act like you’re trying to be faithful, you didn’t put your minds into the movies, you made them PG-13 and not R Rated, you ruined Venom &amp; Carnage and you turn the characters as well the movies into Laughing Stocks. Isn’t that right? <b>(SLAP)</b> Huh!? Isn’t that right? HUH, SONY? <b>(SLAP)</b> 😡😡","1"
"Knull🥶🥶🥶","1"
"KNULL!!!!!<br><br>LETS FUCKING GO","1"
"&quot;Let&#39;s go gambling!!&quot; <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=155"">2:35</a>","1"
"i hope they will not ruin Knull...","1"
"We are venom","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=71"">1:11</a> pause it at the right time and venom looks really upset XD","1"
"Nxt level🔥","1"
"Sweet, Sony gets to destroy another super important character for the sake of a money grab.......It took the entire Marvel Universe to fight and defeat Knull.........Yet Sony is like........Nah, we are going to keep him to ourselves and just use Venom, lol. Your company is trash","1"
"i love when venom said it&#39;s venoming time and.... you know what who give a shit i just don&#39;t care about this movie to even end this joke","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=68"">1:08</a> IS THAT WHO I THINK IT IS.","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=72"">1:12</a>","1"
"Venom: Delicious! You take me to all the finest places. <br><br>Eddie: I need Tylenol.","1"
"i hope knull isnt defeated and wasted in this one like kang was in ant man 3","1"
"We got Venom gambling before GTA VI 💀","1"
"How does venom eats Hairs😅😂😂","1"
"Hopefully this is good ...","1"
"If this comment get 11k likes. I will book 3 theatres (cz its venom 3)","1"
"YESSS KNULL IS HERE!!!!","1"
"Waiting for mokka commentary","1"
"We got knull in movies before GTA VI. Lets goooooo!!!🗣️🗣️🗣️","1"
"We are Venom! I am Groot!","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=24"">0:24</a> We Got Venom Winking Before GTA 6🗣️🗣️","1"
"How many age cant his do stunts bro 💀😭😂","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=67"">1:07</a> Knull Has Entered The SSU","1"
"After watching this trailer it&#39;s just Awesome 😎 I love this trailer 😍😍😍❤❤❤ I&#39;m just waiting for it to release","1"
"I never gone miss it 🔥","1"
"The trailer is very underwhelming except for the Knull part. Something big is incoming and it&#39;s not my d. They are hiding really hard.","1"
"Tom Hardy for the next James Bond","1"
"Come back to this comment when they butcher knull","1"
"AIN&#39;T NO WAY THEY&#39;LL BRING KNULL IN THIS MOVIE","1"
"Knull!!!!!!!!","1"
"It looks so awful, cheap, poorly written and chaotic that I have no doubt whatsoever that many people will love this movie and make 200 million at the box office","1"
"¡If Spider-Man doesn&#39;t appear in Venom The Last Dance, I won&#39;t watch it!","1"
"NOT OUR FRIENDLY NEIGHBORHOOD VENOM","1"
"I can&#39;t wait to see this movie","1"
"Who the hell is gonna play Knull?","1"
"The ending is gonna be sad.","1"
"Is that knull ? 🤯🤯🤯","1"
"We got Knull in live action before GTA 6, and we are super excited about it!😍😍","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=67"">1:07</a> K N U L L","1"
"AINT NO WAY ITS KNULL BRO","1"
"That my boys that the marvel movie i think that break all the records 🎉❤","1"
"I think that CGI looks worse than previous movies of the Venom, but i hope that this film will be better than rest of them","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=52"">0:52</a> Knull? 👀👀","1"
"KNULL BABYYYYYY!!!","1"
"Didn&#39;t think we would actually get knulll!!!!","1"
"Turn Venom into some stand up comic, Nerf Carnage in the worst way possible, Introduce Knull in the very last film as a one-off big bad? Strike three. Sorry","1"
"I will miss you venom","1"
"Marvel is finally locking in","1"
"Fun fact: if you put fun fact in the beginning of your comment everyone will read it till the end!","1"
"We need amazing spider man 3😢","1"
"they showed knull <br><br>thats exactly what i wanted","1"
"the knull is coming !!","1"
"WTFFFFF!!!! the Knull, holy shit, never thought they would actually bring him. <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=68"">1:08</a> ; but then this is supposed to be the last venom film, how tf are they gonna finish using the Knull in one movie, they better not mess this up and they better give the rights to marvel","1"
"We seriously got a venom trilogy before a justice league saga 💀","1"
"Venoso 3: el simbionte homosexual de las montañas 🐎🐴🐎 se ve buenarda","1"
"FINALLY!!!!!!!!!!","1"
"nick cage as knull wud be lit","1"
"let&#39;s goo !! knull in live action 😈","1"
"What&#39;s even the use of doing a venom movie if there is no spiderman in it?","1"
"My God this looks awful.","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=67"">1:07</a> - KNULL","1"
"The funny thing about all of these franchise is that we haven&#39;t got a one spidey or anything mention to this universe make me irritating..","1"
"Can&#39;t believe we are seeing knull","1"
"A venom trilogy is actually happening! LFG! Also Knull!😮","1"
"So Tom Cruise Exists In Venom Universe ❤❤","1"
"Use Me As Venom 3 Movie Success Button","1"
"Every like this comment gets I’ll watch this trailer.","1"
"Every time someone like l will watch again 3 times","1"
"15 minutes gang 👇","1"
"I can feel the fear of knull","1"
"🤯 holly crap they are actually doing KNULL this Will by far be the best thing to come out of the Sony universe.","1"
"Venom 4 Join MCU after Avengers Secret Wars and Venom is Villain Spiderman","1"
"This comes out the same day as Black Ops 6 what we doing first yall ?","1"
"DANG","1"
"Literally Can&#39;t wait For Release ❤❤❤❤","1"
"Last Tom Hardy&#39;s Adventure as Lethal Protector , i Hope he Have a Good Farewell","1"
"So cool finally seeing Knull live action finally! Can’t wait to watch this movie!","1"
"I hope this part is better than fist two parts","1"
"Only in Ohio","1"
"that better be Dr.Connors son Billy and wife Martha","1"
"we got venom gambling addiction before gta 6 😭","1"
"KNULL","1"
"I&#39;m very excited for this movie ❤ botton :---------","1"
"Are you kidding me you bring a universal threat in without any build up what so ever Eddie and Venom haven&#39;t even been to space yet secret was hasn&#39;t even happened I&#39;m honestly a little disappointed with you Sony","1"
"THEY BETTER NOT F UP KNULL!!!!","1"
"we have knull yes yes!!","1"
"The best part in the trailer when venom was gambling 😂","1"
"Cant wait to watching 😫","1"
"We are getting a live action knull","1"
"Still hoping we get a Comic Accurate Venom design by the end of the movie","1"
"Why do certain comments get so many likes I wouldn&#39;t want my phone to blow up...","1"
"Back in Black  😎😎","1"
"If this comment reaches 14k likes this movie is going to flop","1"
"Me: we are bad ppl<br>Venom: f. Yes we are","1"
"Venom went from eating heads to slapping heads","1"
"Noooooo<br>Knull is a universal threat, he&#39;s in this movie, really???<br>For anyone who don&#39;t know knull, he&#39;s the god of symbiote, emerged from the abyss which he slayed a celestial like it was nothing","1"
"Eddie but I need him <br>Could he be talking about spider man","1"
"You&#39;ll be missed Venom Trilogy - The only good movie we got with Sony (so far)","1"
"ALL I WANT IS MD-FUCKIN KNULL CRUSIN THE MULTI-VERSE + OPEN WORLD OF INHERITORS VS SPIDERMAN IN MCU LETS FUCKING GO!","1"
"We got a whole Venom trilogy before GTA 6","1"
"😍😍😍😍😍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🫵🏻🫵🏻🫵🏻🫵🏻","1"
"Never expected a Venom Trilogy, but here we are","1"
"It would be good if the villains(anti heroes)were just fighting with spider-man or spider-mans, and the anti heroes and spider-man or spider-mans. CAN TEAM UP TO FACE THE KNULL AND THE SYMBIOTES","1"
"o my gat KNULL!!!!!","1"
"wee r venommm","1"
"Here is","1"
"I can&#39;t wait to watch this movie","1"
"wondering what they’re going to do with Knull after this movie","1"
"I see Knull 🥶","1"
"Venom 3 comes out on my mother&#39;s birthday 😂.. definitely a good omen and a good movie","1"
"We got Venom Triology before Gta 6","1"
"HOLY SHIT KNULL","1"
"The VFK Is kinda sick ngl","1"
"Why is venom immune to airplane sounds now ...<br><br>In the first movie it messed him up 😅","1"
"We got venom riding a motorcycle before GTA6","1"
"We Are In Deep Shit!😅, yeah the movie better be great!","1"
"Another stinker from Marvel. Yawn.","1"
"Was that knull !??? ,👀👀👀","1"
"Yo, trailer for my birthday today!!","1"
"We got Venom knocking people instead of eating their head before gta 6.","1"
"If you ain&#39;t from tik tok you are allowed to like the comment","1"
"We got a venom Trilogy Before The Justice League!🤣","1"
"Knull??? Oh shit","1"
"In the first movie , venom almost lost it when he heard the airplane’s loudness and now he’s riding on it without any issue lmao","1"
"Where&#39;s Andrew garfields spiderman?","1"
"I wonder if knull will have his sword since it was in the MCU💯💯💯","1"
"Omg KNULL !!!!!!","1"
"Here comes the knull😈","1"
"Marvel multiverse is cooking!","1"
"was that Knull omg...","1"
"Knull !!!!!!!!!!!!!!!","1"
"Today is my birthday","1"
"NO WAY THEY JUST SHOWED KNULL","1"
"1.06 no way we are getting knull before GTA 6 <br>I believe that they are going to nerf knull so much","1"
"The secret shoot of Tom Holland 🕸🕸🕸","1"
"How tf are they gonna fight KNULL??!!!!??!!","1"
"Who else is Venom?","1"
"FINNALY KNULL !!! I KNEW IT","1"
"Knull!!!!! <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=66"">1:06</a>","1"
"I am so happy to see final trailer","1"
"<i>KNULL!!!</i>","1"
"Wtf..knull is in the movie..bro😬😬","1"
"Knull confirmed!!","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=67"">1:07</a> knull😱","1"
"Dari Indonesia mana suaranyaa🇮🇩","1"
"hnji indians zara present to laga do apni","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=51"">0:51</a> KNULL??? 🔥<br><br>Edit: lets Go! They really do it! I&#39;m Hyped asf 🔥🔥🔥","1"
"I love Venom❤","1"
"I&#39;m excited to see the movie next month","1"
"Brasil 🇧🇷","1"
"How many inches is Sony venom ?","1"
"KNULL CONFIRMEDDD","1"
"💯 let’s go","1"
"I can&#39;t wait😁","1"
"Aur isse morbius vulture aur sinister six ka kuch lena dena h kya","1"
"Bro this one needs to be good lol 😂😂😂","1"
"We want Spiderman cameo 💥💥","1"
"They Better Bring Andrew in this one otherwise this whole Sony Spiderman universe is gonna go down.","1"
"We last Venom film before gta6 🥹","1"
"Bhot achi h venom pr aage kya hame dhekhe ko mile kash yahi Tom Hardy","1"
"First like here if you are true fan of venom","1"
"NICEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a> NOW THIS WILL CONNECT TO KNULL-VOID-CELESTIALS-NECROSWORD...😍😍😍😍😍","1"
"I&#39;m ready","1"
"First comment like to banti hea 😢","1"
"Eddie.....","1"
"LET&#39;S GOOOOOOO","1"
"First","1"
"Fucking cool🔥🔥🔥","1"
"Omg spider man 😱😱😱😱","1"
"17 Second","1"
"First ❤","1"
"First last dance","1"
"Primera ❤","1"
"First like and first comment ❤❤❤❤","1"
"Tamil dubbed ❤❤❤❤❤","1"
"Venom","1"
"First like","1"
"🎉","1"
"<i>Leggo!!! 💯</i>","1"
"Wow","1"
"Why even make Venom a hero or anti hero character 😒 Venom is supposed to be the villain in Spiderman’s movies","0"
"Meanwhile Morpheus and MCU Vulture are running somewhere in the background. Seriously, if such a big event happens, shouldn’t they also be involved?","0"
"Knull","0"
"I&#39;m glad that it looks like Toxin will have some role too.","0"
"In Like when knull appears!","0"
"Im sorry but the cgi looks mid","0"
"What I Do With Movies That Have Alot of fluff Is Pinpoints Remove The Fluff Focus on The Cool And The Movie Ends Up Being Watchable and Enjoyable Thats What I Have Done With Venom And Venom Let There Be Carnage Remove The Fluff","0"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=77"">1:17</a> I Recognize That City bruh","0"
"KNULL OMFG","0"
"No, thank you","0"
"Please don’t mess up Knull…awesome that he will be in the movie, I know it won’t be like the comics but even so I’m hyped for this","0"
"So what all of this is about ? i mean i didn&#39;t see the main villain","0"
"Knull, pero lo saca Sony :( ,whyy f","0"
"I love venom so much❤","0"
"I know it sounds crazy, but they better not separate Eddie and Venom at the end of the franchise. 😭😭😭😭","0"
"Could it be that Venom could transform into Anti-Venom?","0"
"Thank God this shit is finally going to be over.","0"
"Potential Spoiler:<br><br><br><br><br><br>MCU actually has the rights of Knull... Just saying.","0"
"Knull","0"
"Venom&#39;s got a gambling addiction now, ok.","0"
"Why would Venom steal a tuxedo suit off of somebody when he could just change into whatever outfit he wants?","0"
"I thought the symbiote could change the hosts outfit???","0"
"Wahoo!!!! Awesome trailer!!!! And wasn&#39;t expecting knull!!!! Wahoo!!!!!<br>🤯🤯🤯🤯🤯🤯🤯","0"
"I swear I&#39;ve seen this movie 10x on telegram basements 💀","0"
"DON&#39;T SCREW UP MCU SPIDERMAN 4 WITH YOUR MULTIVERSE BS","0"
"Omfg i knew it Knull!!!","0"
"Wow 🥶❤️🍿","0"
"how is Venom even going to defeat Knull 💀","0"
"No way Knull loses in one movie. I hope it&#39;s a good ending","0"
"I know it&#39;s been about 5 or 6 years already since the first one, i still wished they would&#39;ve picked Daran Norris for Venoms voice","0"
"Bro knull is gonna be so peak","0"
"They fu*ked up gorr now they introducing knull like this what the hell is wrong with them he is like universal level being he can solo avengers + thanos I am done with marvel 😑","0"
"LIU KANG is stronger than Venom and Knull. LIU KANG beats Venom and Knull by fighting.","0"
"my god the cgi is atrocious... was it under 60 million or less?","0"
"🤦‍♂🤦‍♂🤦‍♂<br><br>Its fooor kids and dads chill &quot; PR TEAM&#39;&#39;  - Also toys to sell.","0"
"@<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=130"">2:10</a> Peter Parker?","0"
"Doesn&#39;t anyone think that this venom villian seems out of place? If this is a trilogy then carnage should have been saved for last but then again no would have wanted to see venom 2.","0"
"So this is the last venom solo movie? I hope we still get to see him as tom hardy in other movies","0"
"LETS GOO","0"
"the plot looks wafer thin, tbf. Even thinner than the bad plot in Venom 2","0"
"They will waste knull","0"
"Venom without spidey 😿","0"
"I can’t barely hear Tom Hardys deep voice😂😂😂 Like please have a voice actor who has a depth of vocals for this Villain😂😂","0"
"WTF is Otto Hightower doing HERE?!","0"
"Wow, never in a million years did I think we would see knull in live action","0"
"Don’t you fking kill venom !!!!!!","0"
"yooo[oooo im teadyyy","0"
"Please stop the preview before the video crap. I pressed play! I&#39;m ready to watch.","0"
"if they made these rated r it couldve been such a good movie, they alr missed on carnage","0"
"KNULL!!!!<br>IT&#39;S ACTUALLY HAPPENING!😮","0"
"Aí está um trailer que é melhor que o filme.","0"
"na brooo these boys are so cooked","0"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=106"">1:46</a> Did he say &quot;we are Groot?&quot; 😂","0"
"This looks good but I hope they have some guest hero’s to help him even if it’s other symbiotes","0"
"i feel knull is going to barely even be in this movie and hes just a big threat that barely shows and is just their to scare them","0"
"So glad to see Knull finally introduced to Live Action","0"
"One day, CGI will be actually watchable.","0"
"even venom cant resist gamble","0"
"was that Morbius?💀","0"
"Knull in this?! That’s a very risky decision.","0"
"Sony, let me make this CRYSTAL clear:<br><br>If you guys ruin Knull the same way you ruined Carnage, I will never pay to see a single movie you make ever again.","0"
"Um sir was that knull?","0"
"Naaaaaa where’s toxin how does he get the white spider <br>An knull the fxck 🥵","0"
"GOD IS COMING!","0"
