"Comment","LikeCount"
"Ive never thought i would see Knull in a movie.Lucky to see this","19"
"AVI ARAD has ruined so far...<br><br>* Borderlands <br>* Daredevil (2003)<br>* The Punisher (2004)<br>* Elektra (2005)<br>* Fantastic Four (2005)<br>* X-Men: The Last Stand<br>* Spider-Man 3<br>* Bratz (2007)<br>* Ghost Rider: Spirit of Vengeance<br>* The Amazing Spider-Man 2<br>* Ghost in the Shell (2017)<br>* Venom: Let There Be Carnage<br>* Uncharted (2022)<br>* Morbius<br><br>And now he&#39;s gonna ruin...<br><br>* Kraven the Hunter<br>* Venom: The Last Dance <br>* Legend of Zelda<br>* Naruto<br><br>As long as Arad lives, there&#39;s no hope","18"
"Can&#39;t believe they&#39;re bringing in Knull! Can&#39;t wait for this movie!","17"
"We Are Venom!!!","17"
"Venom shushing Eddie was the funniest thing 😂","16"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=146"">2:26</a> Venom on a motorcycle feels so odd and yet so amazing at the same time","15"
"LETS GO VENOM THE LAST DANCE","15"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=129"">2:09</a> Otto hightower 😌","14"
"HOLY SH*T WE GOT KNULL AS THE BIG BAD LETS GO!!!","14"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=144"">2:24</a> Venom really thinks that riding that motorcycle makes him Shadow the Hedgehog.","13"
"I never Thought Knull Was coming","13"
"The wink 😭","13"
"Honestly venom is one of the best anti heros i know","12"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=156"">2:36</a> LET&#39;S GO GAMBLING 🤑🤑🤑","12"
"Not me being forced to watch an AD for the trailer that I am currently trying to watch 😂","11"
"This looks  bigger than previous two films. I love venom","11"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=13"">0:13</a> Mission: Impossible-Rogue Nation","10"
"I hope knull will not die in just one movie😢","10"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=108"">1:48</a> did I just see a Venom fish?🤨","10"
"VENOM GOES GAMBLING HELL YEAHHH","10"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=82"">1:22</a> Toxin","9"
"Will this be better than the previous Venom 2 movie, &#39;Let There Be Carnage&#39;? I hope so!","9"
"At <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=108"">1:48</a> seconds 😂<br><br>MCU - I am Groot<br>Sony Spiderman universe without spider-man - We are Screwed","9"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=70"">1:10</a> KNULL !!!!🗣🗣🔥🔥","9"
"THIS IS A REAL CINEMA","9"
"Eddie &amp; Venom: If we’re going out, we are going out with a huge bang!!!😎🙌 <br>All of us: We’re with you till the end!😎💪🙌","7"
"nah i was watching in 360p, and i was like why does scorsese in <a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=160"">2:40</a> playing in Casino.","7"
"IVE WAITED SO LONG FOR KNULL","7"
"&quot;My creator&quot; ayooo wttfffffff?? ?!!!!","7"
"I love how knull literally showed up and half the comments are talking about the gambling bit.","6"
"Let&#39;s be honest guys Tom Hardy portrays Venom perfectly 💯🔥","6"
"They actually put knull in the film omg 😭 let’s go I’m super hyped for this now","6"
"Please just don’t one off Knull.","6"
"I watched the first two films of Venom! And I enjoyed both of them. I watch this and I can’t wait to see the final movie of Venom, I hope this trilogy ends well","6"
"Venom Fans Assemble Here❤💥🔥🔥","6"
"If you&#39;re not here from tik tok, are you&#39;re allowed to like this comment","6"
"Who waiting for &quot;Avengers Doomsday&quot;❤","5"
"Venom&#39;s wink was everything 😉😂","5"
"Never expected Knull to make his cinematic debut, yet here we are.","5"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=117"">1:57</a> Yeah we need him too","5"
"Venom riding the horse and a motorbike is not what I was expecting!🤩","5"
"A Venom movie gonna make me cry is not what I was expecting 😢","5"
"Dat venom tongue look freaky as hell","5"
"🔥love from india kerala ❤️🇮🇳","5"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=39"">0:39</a> parachute? so creative","4"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=40"">00:40</a> FORTNITE GLIDER!","4"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=68"">1:08</a> The KING IN BLACK<br>Finally, lets gooo🔥🔥","4"
"I didn’t even expected that","4"
"Omg knull 😭😭😭","4"
"Seeing Knull is something I&#39;ve never thought I needed","3"
"I love Tom hardy but these movies are just the worst. The portrayal of venom is dumb as hell and they wasted carnage. Just terrible","3"
"finally! we get to see venom in the daytime","3"
"Venom 3 delivers a thrilling blend of action, comedy, adventure, and heartfelt emotion","3"
"I still can’t get over the fact that Venom of all characters gets to have a movie trilogy about him before the Justice League in my lifetime.","3"
"That wink 😂😂😂😂😂😂","3"
"I Have A Feeling This Is Gonna Be A Masterpiece","3"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=158"">2:38</a> Is that Martin Scorsese? From Multiverse 😮😂","3"
"Knull looks absolutely awesome","3"
"damn i thought i will be the first comment, But KNULL in this movie?! this movie will be insane🔥🔥","3"
"The blink of venom was🔥","3"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=141"">2:21</a> How can an Alien can make me cry 😢","3"
"We are VENOM 😍","3"
"First","3"
"These films have been absolutely terrible...","2"
"Eddie:What’s His Name.                                      Venom: 🤫🤫🤫.                                                  Can’t Wait For Last Dance 🪩","2"
"Venom: Riot<br>Venom: Let there be Carnage: Carnage<br>Venom: The Last Dance: Lasher and Knull","2"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=108"">1:48</a> Venom turned into a Fish Lol 🖤👹🕷️🕸️☣️🐟🧬⚧️💀💀","2"
"No.","2"
"<b>Cant wait for this one. Seen them all in the movie theaters so you know I’ll be watching this one too.</b>","2"
"These movies all kinda suck. They have their moments but other than that... meh","2"
"Venom for 10 year olds😂","2"
"Tobey Maguire 😎 Spider-Man is the best than Tom Holland Spiderman and Andrew Garfield Spider-Man","2"
"wonderful trailer. i cant wait!","2"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=108"">1:48</a> VENOM FISH! That&#39;s cool","2"
"I’m here","2"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=168"">2:48</a> Sony with the PS5 Pro: I Need More Money","2"
"Icl i love knull but he shouldn’t be in the Sony universe","2"
"The way Venom speaks at the end &quot;I need more money&quot;, it reminded me of Al Pacino&#39;s Big Boy","2"
"Iam Expecting a Good damn villainism in the KNULL Character, Don&#39;t disappoint me , Like the Thor Love and Thunder villain (GOrR🙊) ......🙄😤","2"
"Looks as fantastically shite as the other two.","2"
"what if the &quot;we&#39;ve come a long way&quot; flashbacks had them kissing in the forest","2"
"Eddie and venom during in glorious fashion to defeat knull.","2"
"I adore Tom Hardy! 😭❤️","2"
"Sony is gonna ruin Knull","2"
"The 3 venom movies together equal 10/10 for me. Tom Hardy is as likeable as Ryan Reynolds is 😎✅ And just as talented. 😎✅","2"
"This trailer is epic<br>Hope it will be a 3 hours movie 🎬","2"
"Always on the defensive when you see what they did with Carnage but KNULL WHOOOHOOOOOO!!!","2"
"Ooh my godness Knull finally showed up it&#39;s going to be crazy, 🤯","2"
"My name is Venom and I need ketchup!","2"
"Fun fact: 99% of symbiotes quit gambling right before they&#39;re about to win big","2"
"Pfft just another green screen comedy. Can’t wait to see how the stupid unfunny and poorly timed comedy and boring PG-13 rating ruins this. Also can’t wait to see them nerf the f out of Knull.<br><br>This should’ve been R rated from the beginning but all they care about is money.","2"
"Venom: &quot;Eddie....I need more money.&quot; Lol.","2"
"HELL YEALLL.. WE GOT KNULLLLLLL💀","2"
